energy_bin,sigma_nm,n,median_angular_err_deg,headtail_pct,median_angular_err_mode_deg
low_1_5keV,0,18493,11.708645820617676,93.34342724274049,11.04669189453125
mid_5_20keV,0,13658,7.788731575012207,94.80158149070142,7.345650672912598
high_20_105keV,0,17049,4.873229026794434,95.27244999706727,4.721818447113037
low_1_5keV,1,18493,77.60535430908203,56.069864272968154,85.35357666015625
mid_5_20keV,1,13658,25.294532775878906,74.46185385854444,20.76934051513672
high_20_105keV,1,17049,8.13663101196289,90.20470408821632,7.632317543029785
low_1_5keV,3,18493,87.93708038330078,51.47353052506354,101.79702758789062
mid_5_20keV,3,13658,42.74761199951172,66.91316444574609,42.52739715576172
high_20_105keV,3,17049,11.142172813415527,86.08129509062114,10.46376895904541
low_1_5keV,6,18493,89.55350494384766,50.392040231438926,106.14447021484375
mid_5_20keV,6,13658,67.1158676147461,60.330941572704646,80.14900207519531
high_20_105keV,6,17049,14.892243385314941,80.6029679160068,13.8983793258667
low_1_5keV,10,18493,89.80780792236328,50.159519818309626,107.88162231445312
mid_5_20keV,10,13658,82.02427673339844,55.00805388783131,96.21156311035156
high_20_105keV,10,17049,20.11355972290039,75.89887969968913,18.713441848754883
low_1_5keV,20,18493,90.54177856445312,49.57551505975234,110.5904769897461
mid_5_20keV,20,13658,88.46977233886719,51.35451749890174,103.61029815673828
high_20_105keV,20,17049,38.4643669128418,67.31773124523433,37.68017578125
low_1_5keV,30,18493,90.81417846679688,49.321364840750554,112.08780670166016
mid_5_20keV,30,13658,89.58060455322266,50.351442378093424,106.07176208496094
high_20_105keV,30,17049,63.21832275390625,61.2059358320136,74.7921371459961
low_1_5keV,50,18493,91.28788757324219,48.79684204834261,111.93032836914062
mid_5_20keV,50,13658,89.95515441894531,50.065895445892515,108.24899291992188
high_20_105keV,50,17049,83.2558364868164,54.30230512053493,97.5675277709961
low_1_5keV,100,18493,91.2348861694336,48.97528794679068,112.97126007080078
mid_5_20keV,100,13658,90.54225158691406,49.40694098696735,109.85638427734375
high_20_105keV,100,17049,90.0659408569336,49.932547363481724,100.77043151855469
