============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(24.4 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000024.4 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³22.69E+00³28355.E-03³-1982.E-04³-1739.E-04³0041.72³  C ³57246.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  57246.E-02 2836.E-02 -1982.E-04 -1739.E-04  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  35820.E-02 3292.E-02 -7167.E-03 -6699.E-03  1   00 Û
Û 00003   06  10985.E-02 3728.E-02 -8204.E-03 -4731.E-03  1   00 Û
Û 00004   06  14676.E-02 3603.E-02 -8622.E-03 -5937.E-03  1   00 Û
Û 00005   06  55161.E-03 3830.E-02 -9026.E-03 -3259.E-03  1   00 Û
Û 00006   06  41439.E-03 3434.E-02 -8167.E-03 -6270.E-03  1   00 Û
Û 00007   06  28505.E-03 3100.E-02 -5187.E-03 -4443.E-03  1   00 Û
Û 00008   06  52803.E-03 2866.E-02 -1515.E-03 -1340.E-03  1   00 Û
Û 00009   06  32028.E-03 2876.E-02  2668.E-04 -1347.E-03  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³57246.E-02³000009³000009³000000³000009³
³00001³19.62E+00³60485.E-03³ 3181.E-03³-4261.E-03³0038.80³  C ³97396.E-01³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  97396.E-01 6049.E-02  3181.E-03 -4261.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  17355.E-02 1116.E-01  1702.E-02  2227.E-02  1   00 Û
Û 00003   06  48469.E-03 1130.E-01  1729.E-02  2335.E-02  1   00 Û
Û 00004   06  73487.E-03 1091.E-01  1755.E-02  1983.E-02  1   00 Û
Û 00005   06  34586.E-03 1078.E-01  1849.E-02  1900.E-02  1   00 Û
Û 00006   06  55346.E-02 1066.E-01  1979.E-02  1854.E-02  1   00 Û
Û 00007   06  33644.E-03 1061.E-01  1383.E-02  9383.E-03  1   00 Û
Û 00008   06  39745.E-02 1080.E-01  1970.E-02  1735.E-02  1   00 Û
Û 00009   06  16632.E-02 1218.E-01  4534.E-03  2156.E-02  1   00 Û
Û 00010   06  66280.E-03 1264.E-01  6809.E-03  2211.E-02  1   00 Û
Û 00011   06  30721.E-03 1231.E-01  5550.E-03  2229.E-02  1   00 Û
Û 00012   06  42250.E-03 1146.E-01  1422.E-02  1960.E-02  1   00 Û
Û 00013   06  11964.E-02 1032.E-01  1973.E-02  1769.E-02  1   00 Û
Û 00014   06  57817.E-03 1042.E-01  2476.E-02  1860.E-02  1   00 Û
Û 00015   06  33614.E-02 1002.E-01  1968.E-02  1568.E-02  1   00 Û
Û 00016   06  28913.E-03 1116.E-01  2626.E-02  2162.E-02  1   00 Û
Û 00017   06  37623.E-03 1069.E-01  2159.E-02  2016.E-02  1   00 Û
Û 00018   06  14917.E-02 1020.E-01  2019.E-02  1874.E-02  1   00 Û
Û 00019   06  86393.E-03 9860.E-02  2027.E-02  1530.E-02  1   00 Û
Û 00020   06  53571.E-03 9996.E-02  2207.E-02  1266.E-02  1   00 Û
Û 00021   06  00000.E+00 1015.E-01  2178.E-02  1349.E-02  0   01 Û
Û 00022   06  47403.E-03 1015.E-01  2178.E-02  1349.E-02  1   00 Û
Û 00023   06  62754.E-03 9700.E-02  2061.E-02  1459.E-02  1   00 Û
Û 00024   06  12963.E-02 9064.E-02  2004.E-02  1142.E-02  1   00 Û
Û 00025   06  00000.E+00 9315.E-02  2494.E-02  7756.E-03  0   01 Û
Û 00026   06  48470.E-03 9315.E-02  2494.E-02  7756.E-03  1   00 Û
Û 00027   06  35069.E-03 9492.E-02  2474.E-02  7738.E-03  1   00 Û
Û 00028   06  38439.E-03 9092.E-02  2249.E-02  8884.E-03  1   00 Û
Û 00029   06  66000.E-03 8918.E-02  1940.E-02  1062.E-02  1   00 Û
Û 00030   06  32915.E-03 8941.E-02  2114.E-02  1030.E-02  1   00 Û
Û 00031   06  39252.E-02 8440.E-02  1579.E-02  6754.E-03  1   00 Û
