============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(29.2 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000029.2 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³26.41E+00³82676.E-03³-1951.E-03³ 2008.E-03³0044.33³  C ³44042.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  44042.E-02 8268.E-02 -1951.E-03  2008.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  96085.E-03 7936.E-02 -1107.E-02  1810.E-02  1   00 Û
Û 00003   06  66872.E-03 8006.E-02 -9171.E-03  1521.E-02  1   00 Û
Û 00004   06  30941.E-03 7950.E-02 -7848.E-03  1415.E-02  1   00 Û
Û 00005   06  69216.E-03 8270.E-02 -7877.E-03  1078.E-02  1   00 Û
Û 00006   06  37905.E-03 8273.E-02 -9627.E-03  1113.E-02  1   00 Û
Û 00007   06  32430.E-03 8296.E-02 -5485.E-03  6011.E-03  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³44042.E-02³000007³000007³000000³000007³
³00001³25.39E+00³92340.E-03³-2956.E-03³ 1837.E-03³0043.72³  C ³12712.E-02³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  12712.E-02 9234.E-02 -2956.E-03  1837.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  00000.E+00 9288.E-02 -6176.E-03  4530.E-04  0   01 Û
Û 00003   06  11263.E-02 9288.E-02 -6176.E-03  4530.E-04  1   00 Û
Û 00004   06  38743.E-03 9619.E-02 -3775.E-03  3674.E-03  1   00 Û
==================================================================
³                                Summary of Above Cascade ==> ³12712.E-02³000003³000002³000001³000003³
³00001³24.91E+00³11049.E-02³-3423.E-03³ 1365.E-03³0043.44³  C ³20808.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  20808.E+00 1105.E-01 -3423.E-03  1365.E-03  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  49302.E-02 3532.E-01 -2237.E-01  3241.E-01  1   00 Û
Û 00003   06  60690.E-03 3587.E-01 -2262.E-01  3305.E-01  1   00 Û
Û 00004   06  39433.E-03 3551.E-01 -2249.E-01  3268.E-01  1   00 Û
Û 00005   06  67064.E-02 3463.E-01 -2073.E-01  3045.E-01  1   00 Û
Û 00006   06  79032.E-03 3436.E-01 -2079.E-01  2880.E-01  1   00 Û
Û 00007   06  33704.E-03 3426.E-01 -2065.E-01  2887.E-01  1   00 Û
Û 00008   06  36859.E-02 3466.E-01 -2046.E-01  2907.E-01  1   00 Û
Û 00009   06  19164.E-02 3451.E-01 -2142.E-01  2983.E-01  1   00 Û
Û 00010   06  18194.E-02 3444.E-01 -2125.E-01  2986.E-01  1   00 Û
Û 00011   06  16145.E-02 3429.E-01 -2134.E-01  2984.E-01  1   00 Û
Û 00012   06  33710.E-03 3469.E-01 -2060.E-01  3012.E-01  1   00 Û
Û 00013   06  25432.E-02 3459.E-01 -2071.E-01  3028.E-01  1   00 Û
Û 00014   06  49221.E-03 3458.E-01 -2093.E-01  2984.E-01  1   00 Û
Û 00015   06  00000.E+00 3463.E-01 -2064.E-01  3003.E-01  0   01 Û
Û 00016   06  28536.E-03 3463.E-01 -2064.E-01  3003.E-01  1   00 Û
Û 00017   06  41707.E-03 3455.E-01 -2090.E-01  3001.E-01  1   00 Û
Û 00018   06  12542.E-02 3463.E-01 -2084.E-01  3016.E-01  1   00 Û
Û 00019   06  33664.E-03 3459.E-01 -2128.E-01  2990.E-01  1   00 Û
Û 00020   06  53464.E-03 3373.E-01 -2130.E-01  2863.E-01  1   00 Û
Û 00021   06  22058.E-02 3356.E-01 -2148.E-01  2838.E-01  1   00 Û
Û 00022   06  29273.E-03 3371.E-01 -2268.E-01  2816.E-01  1   00 Û
Û 00023   06  34973.E-03 3362.E-01 -2224.E-01  2794.E-01  1   00 Û
Û 00024   06  28851.E-03 3230.E-01 -2225.E-01  2740.E-01  1   00 Û
Û 00025   06  37699.E-03 3192.E-01 -2248.E-01  2710.E-01  1   00 Û
Û 00026   06  30292.E-03 3193.E-01 -2242.E-01  2693.E-01  1   00 Û
Û 00027   06  10823.E-02 3116.E-01 -2302.E-01  2656.E-01  1   00 Û
Û 00028   06  63029.E-03 3119.E-01 -2315.E-01  2668.E-01  1   00 Û
Û 00029   06  42490.E-03 3046.E-01 -2331.E-01  2610.E-01  1   00 Û
Û 00030   06  35026.E-03 2892.E-01 -2400.E-01  2510.E-01  1   00 Û
Û 00031   06  15466.E-02 2877.E-01 -2405.E-01  2501.E-01  1   00 Û
Û 00032   06  79712.E-03 2884.E-01 -2412.E-01  2450.E-01  1   00 Û
Û 00033   06  00000.E+00 2909.E-01 -2392.E-01  2462.E-01  0   01 Û
Û 00034   06  39547.E-03 2909.E-01 -2392.E-01  2462.E-01  1   00 Û
Û 00035   06  28428.E-03 2898.E-01 -2401.E-01  2451.E-01  1   00 Û
Û 00036   06  42104.E-03 2879.E-01 -2415.E-01  2467.E-01  1   00 Û
Û 00037   06  19213.E-01 2740.E-01 -2465.E-01  2444.E-01  1   00 Û
Û 00038   06  55589.E-03 3091.E-01 -2209.E-01  2775.E-01  1   00 Û
Û 00039   06  10710.E-02 3060.E-01 -2243.E-01  2801.E-01  1   00 Û
