============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(65.1 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000065.1 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³63.16E+00³16392.E-03³-1063.E-05³-6835.E-07³0064.09³  C ³57698.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  57698.E+00 1639.E-02 -1063.E-05 -6835.E-07  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  11581.E-01 9816.E-04  4706.E-01 -8680.E-01  1   00 Û
Û 00003   06  32615.E-03 1923.E-03  4692.E-01 -8673.E-01  1   00 Û
Û 00004   06  30256.E-03 1759.E-03  4695.E-01 -8691.E-01  1   00 Û
Û 00005   06  00000.E+00 1202.E-03  4700.E-01 -8707.E-01  0   01 Û
Û 00006   06  29645.E-03 1202.E-03  4700.E-01 -8707.E-01  1   00 Û
Û 00007   06  38421.E-02 2917.E-03  4680.E-01 -8665.E-01  1   00 Û
Û 00008   06  33344.E-05 2548.E-03  4638.E-01 -8651.E-01  0   01 Û
Û 00009   06  28865.E-03 2548.E-03  4638.E-01 -8651.E-01  1   00 Û
Û 00010   06  22549.E-02 3218.E-03  4653.E-01 -8644.E-01  1   00 Û
Û 00011   06  63293.E-03 6397.E-03  4594.E-01 -8695.E-01  1   00 Û
Û 00012   06  35880.E-03 6355.E-03  4611.E-01 -8689.E-01  1   00 Û
Û 00013   06  55584.E-03 5424.E-03  4624.E-01 -8683.E-01  1   00 Û
Û 00014   06  93871.E-03 2670.E-03  4668.E-01 -8652.E-01  1   00 Û
Û 00015   06  39179.E-03 3385.E-03  4693.E-01 -8673.E-01  1   00 Û
Û 00016   06  38671.E-03 2530.E-03  4683.E-01 -8661.E-01  1   00 Û
Û 00017   06  31056.E-06 2412.E-03  4698.E-01 -8651.E-01  0   01 Û
