============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(67.9 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000067.9 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³65.57E+00³35219.E-03³ 1108.E-04³ 2714.E-04³0065.07³  C ³30176.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  30176.E-03 3522.E-02  1108.E-04  2714.E-04  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³30176.E-03³000001³000001³000000³000001³
³00001³63.89E+00³67826.E-03³ 1177.E-04³-1597.E-04³0064.39³  C ³35828.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  35828.E+00 6783.E-02  1177.E-04 -1597.E-04  1   00 Û<ÄPrime RecoilÛ
Û 00002   06  57602.E-03 8917.E-02 -4812.E-02  3502.E-01  1   00 Û
Û 00003   06  32067.E-03 9019.E-02 -4953.E-02  3506.E-01  1   00 Û
Û 00004   06  40511.E-03 9649.E-02 -5573.E-02  3506.E-01  1   00 Û
Û 00005   06  26457.E-02 9766.E-02 -5695.E-02  3512.E-01  1   00 Û
Û 00006   06  00000.E+00 8935.E-02 -6050.E-02  3503.E-01  0   01 Û
Û 00007   06  32301.E-03 8935.E-02 -6050.E-02  3503.E-01  1   00 Û
Û 00008   06  11287.E-02 9656.E-02 -5727.E-02  3498.E-01  1   00 Û
Û 00009   06  57582.E-03 9571.E-02 -5739.E-02  3514.E-01  1   00 Û
Û 00010   06  59858.E-02 1018.E-01 -5720.E-02  3545.E-01  1   00 Û
Û 00011   06  29437.E-03 9495.E-02 -5852.E-02  3505.E-01  1   00 Û
Û 00012   06  34813.E-02 9635.E-02 -5958.E-02  3508.E-01  1   00 Û
Û 00013   06  12660.E-02 8927.E-02 -5913.E-02  3467.E-01  1   00 Û
Û 00014   06  28406.E-03 8638.E-02 -5737.E-02  3503.E-01  1   00 Û
Û 00015   06  52640.E-03 8820.E-02 -5790.E-02  3474.E-01  1   00 Û
Û 00016   06  69276.E-05 8738.E-02 -5859.E-02  3460.E-01  0   01 Û
Û 00017   06  48947.E-03 8738.E-02 -5859.E-02  3460.E-01  1   00 Û
Û 00018   06  37771.E-03 9036.E-02 -6002.E-02  3478.E-01  1   00 Û
Û 00019   06  80575.E-03 9348.E-02 -6096.E-02  3492.E-01  1   00 Û
Û 00020   06  29765.E-03 9169.E-02 -6236.E-02  3465.E-01  1   00 Û
Û 00021   06  38007.E-03 9927.E-02 -5820.E-02  3523.E-01  1   00 Û
