============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  C (06)   Ion Mass= 012.0107
Energy  = 1000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=200000.E-01 A
  Layer # 1 - Density =0003.5100 g/cm3
  Layer # 1 -  100 % of  C
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.4747E+02 -4.7398E+01  6.5245E+00
0000002   2.1609E+02  5.5100E+01  6.9168E+01
0000003   2.3007E+02 -9.7057E+01  3.5613E+01
0000004   1.9297E+02  2.2770E+01  5.4726E+01
0000005   2.7744E+02 -6.7105E+01 -3.7831E+01
0000006   1.3301E+02 -3.6958E+01  3.3021E+01
0000007   2.4112E+02 -2.1746E+01 -1.4534E+01
0000008   2.2530E+02  3.1427E+01  4.1127E+01
0000009   1.2816E+02 -6.7227E+01 -6.8289E+01
0000010   1.2429E+02 -6.5636E+01 -5.6168E+01
0000011   2.2306E+02  7.1056E+00 -2.0115E-01
0000012   1.9426E+02  7.0575E+01  1.2480E+01
0000013   2.9396E+02  1.0815E+02 -8.2073E+01
0000014   1.8357E+02  3.8947E+00 -7.9691E+00
0000015   1.3338E+02  8.4135E+01  6.6851E+01
0000016   1.8329E+02 -4.4986E+01 -2.0226E+01
0000017   2.2195E+02 -5.4125E+00 -1.8517E+01
0000018   2.6047E+02 -8.6774E+01  9.7417E+01
0000019   2.0720E+02 -1.6315E+01  4.5318E+01
0000020   1.2005E+02 -1.9088E+01 -3.8309E+01
0000021   3.0245E+02 -2.3645E+01 -5.1781E+00
0000022   9.9713E+01  7.7200E+01  7.8447E+00
0000023   8.1385E+01  1.1169E+00  2.2500E+01
0000024   2.7364E+02  8.9350E+01  2.5597E+01
0000025   2.4364E+02  9.8137E+01  1.3442E+01
0000026   1.1935E+02  3.6695E+01 -5.8927E+01
0000027   2.6943E+02 -1.5916E+01  9.7555E+01
0000028   2.1456E+02 -6.9349E+01 -1.1423E+02
0000029   1.4088E+02  6.7589E+01  3.0057E+01
0000030   1.4278E+02 -1.5000E+01  6.5592E+01
0000031   8.6165E+01 -4.1017E+01  6.7454E+01
0000032   4.3954E+01 -3.3407E+01  4.9918E+01
0000033   2.3484E+02  2.7917E+01 -4.0881E+00
0000034   2.2058E+02 -6.1718E+01 -6.6920E+01
0000035   1.7927E+02 -3.7637E+01  3.0273E+01
0000036   1.9450E+02 -1.0510E+02  1.3513E+01
0000037   9.2098E+01  4.6833E+01  3.5923E+01
0000038   2.9292E+02  1.9129E+01  5.3671E+01
0000039   1.4149E+02 -3.4562E+01  1.1097E+02
0000040   1.9611E+02 -3.3269E+01  2.8661E+01
0000041   2.5396E+02 -1.1016E+02  9.0690E-02
0000042   1.6811E+02 -3.2081E+01  6.3364E+01
0000043   1.5487E+02 -4.1850E+00  1.7810E+01
0000044   8.9573E+01  4.5811E+01  8.0276E+01
0000045   3.5574E+01 -7.2216E+00 -3.0541E+00
0000046   1.7678E+02  7.1626E+01 -2.1333E+01
0000047   1.8444E+02 -1.5638E+01 -1.2181E+01
0000048   2.2856E+02  5.8399E+01  1.1774E+02
0000049   2.4399E+02 -2.1223E+01 -2.8674E+01
0000050   1.4306E+02 -1.1276E+02  2.4346E+01
0000051   2.0485E+02 -3.1686E+01 -4.9186E+01
0000052   8.0095E+01 -7.9338E+00 -9.5486E+00
0000053   1.6567E+02 -3.8893E+00  1.1448E+02
0000054   9.1512E+01 -8.9958E+01  9.8295E+00
0000055   2.1947E+02 -9.9156E+01 -1.2785E+01
0000056   3.3266E+02 -7.1738E+01 -1.4562E+01
0000057   1.9566E+02 -2.7729E+01 -4.3130E+01
0000058   2.6554E+02 -4.5635E+01 -7.2375E+01
0000059   7.3587E+01  6.7909E+01 -1.5584E+01
0000060   1.7838E+02 -8.7938E+00  2.9226E+01
0000061   6.6647E+01  6.8009E+01 -2.4431E+01
0000062   1.4404E+02  3.0185E+01 -7.0499E+01
0000063   2.4210E+02  2.2930E+01 -4.0091E+01
0000064   1.1536E+02  6.5665E+00  7.6036E+01
0000065   2.1751E+02 -5.5017E+01 -5.8133E+01
0000066   2.2390E+02  2.6836E+01 -7.0647E+00
0000067   2.7562E+02 -1.4728E+02  1.1268E+02
0000068   1.1899E+02  6.3806E+01 -3.0260E+01
0000069   1.1127E+02 -9.7075E+01 -1.6215E+01
0000070   1.0198E+02  2.1969E+02 -1.8128E+01
0000071   1.5421E+02 -1.2092E+02 -1.5331E+02
0000072   2.1692E+02 -5.8774E+01  6.3442E+01
0000073   7.3402E+01 -8.0823E+01 -4.8153E+01
0000074   1.9085E+02  4.1009E+00  2.5108E+01
0000075   7.1935E+01 -4.6961E+01  2.9362E+01
0000076   1.5614E+02  5.8472E+01 -9.4813E+01
0000077   1.7095E+02 -1.0714E+02  6.7367E+01
0000078   2.3347E+02  1.8752E+01 -1.0823E+01
0000079   1.3658E+02 -4.4715E+00  1.6494E+01
0000080   2.1600E+02  3.2172E+01  4.3855E+00
0000081   1.0126E+02 -6.4658E+00 -2.1504E+01
0000082   2.0329E+02 -1.1380E+02  1.8146E+01
0000083   2.4037E+02  2.4554E+01 -4.5194E+01
0000084   2.3757E+02 -1.0823E+01 -3.6085E+01
0000085   1.6843E+02 -8.4443E+00 -7.3218E+01
0000086   1.5746E+02  1.1435E+02  2.2651E+01
0000087   1.7193E+02 -7.0754E+01  4.8358E+01
0000088   1.2337E+02 -2.3967E+01  1.1135E+02
0000089   2.0459E+02 -2.7254E+01  2.3259E+01
0000090   1.1043E+02 -7.7490E+01 -8.5084E+01
0000091   1.5071E+02 -7.0238E+01  1.2167E+02
0000092   2.2576E+02 -7.2027E+01 -7.6086E+01
0000093   2.3352E+02  6.5026E+01 -8.3924E+01
0000094   8.2822E+01  9.0600E+01  3.7386E+01
0000095   1.9437E+02  1.1632E+02  7.4167E+00
0000096   1.7911E+02 -2.1483E+01  2.3996E+01
0000097   1.9816E+02 -7.7812E+00  4.0455E+01
0000098   1.6986E+02  2.3037E+01 -3.2872E+01
0000099   5.8028E+01 -2.6527E+01 -5.0208E+01
0000100   9.5777E+01 -8.9231E-01 -4.2493E+01
0000101   1.7939E+02  3.5675E+01 -8.5419E+00
0000102   2.0239E+02  3.9443E+01 -5.5021E+01
0000103   3.0215E+02  1.9892E+01  2.1822E+01
0000104   1.9230E+02 -1.9576E+00 -4.4653E+01
0000105   2.5876E+02 -3.4496E+01  4.5900E+01
0000106   1.2338E+02  3.0239E+01  1.0990E+01
